,Job_Number,Job_Type,ResidFlag,NonresFlag,Job_Status,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,HotelInit,HotelProp,OtherBInit,OtherBProp,UnitsCO,Boro,BIN,BBL,AddressNum,AddressSt,Occ_Init,Occ_Prop,Job_Desc,DateFiled,DatePermit,DateLstUpd,DateComplt,ZoningDst1,ZoningDst2,ZoningDst3,SpeclDst1,SpeclDst2,Landmark,FloorsInit,FloorsProp,Enlargemnt,Ownership,CenBlock10,BCTCB2010,BCT2010,NTA2010,NTAName10,PUMA2010,CommntyDst,CouncilDst,SchSubDist,SchCommnty,SchElmntry,SchMiddle,FireCmpany,FireBattln,FireDivsn,PolicePcnt,PL_FIRM07,PL_PFIRM15,Latitude,Longitude,GeomSource,DCPEdited,Version
3064,121189622,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,6.0,7.0,1.0, , , , ,0.0,1,1053825,1017290002,424,LENOX AVENUE,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),PROPOSE COMBINE EXISTING TWO BUILDINGS/TWO LOTS TO ONE BUILDING/ONE ZONING &amp; TAX LOT. GUT RENOVATION + UPGRADE CONSTRUCTION FROM OLD CODE 3 (NFP) TO 1B CONSTRUCTION (2014 CODE) OPEN A NEW C OF O FOR MIXED USE BUILDING.,2019-01-17,1/31/2020 0:00:00,2020-03-25,,R7-2, , , , , ,4.0,4.0, ,"Government, City: City Agency",360610208001000,10208001000,1020800,MN03,Central Harlem North-Polo Grounds,3803,110,9,5_1,5,571,100,L030,16,6,32, , ,40.8116024759,-73.9422740859,BIN DOB buildingfootprints, ,20Q4
3065,121189631,Alteration,Residential, ,3. Permitted for Construction, ,2020,6.0,7.0,1.0, , , , ,0.0,1,1053826,1017290003,426,LENOX AVENUE,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),"PROPOSE COMBINING EXISTING TWO BUILDINGS/TWO TAX LOTS TO ONE BUILDING/ONE TAX LOT,ZONING LOT.GUT RENOVATION + UPGRADE CONSTRACTION FROM OLD CODE 3(NFP)TO 1B CONSTRACTION (NON-COMBUSTABLE 2014 CODE)OBTAIN A NEW C OF O FOR TOTAL 7 CLASS A APARTMENTS.",2019-01-17,2/3/2020 0:00:00,2020-02-05,,R7-2, , , , , ,4.0,4.0, ,"Government, City: City Agency",360610208001000,10208001000,1020800,MN03,Central Harlem North-Polo Grounds,3803,110,9,5_1,5,571,100,L030,16,6,32, , ,40.8116423492,-73.9422450224,BIN DOB buildingfootprints, ,20Q4
3106,121190567,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,137.0,137.0, , , , ,0.0,1,1090706,1013020025,135,EAST   47 STREET,Empty Site,Residential: 3 or More Units (R-2),NEW BUILDING.,2016-03-28,8/13/2020 0:00:00,2020-09-09,,C5-2.5,C5-3,C6-4.5,MID, , ,0.0,49.0, ,Private For-Profit: Corporation,360610092001013,10092001013,1009200,MN19,Turtle Bay-East Midtown,3808,106,4,2_4,2,523,98,L002,8,3,17, , ,40.754532,-73.972933,Lat/Lon geosupport, ,20Q4
3284,121204026,New Building,Residential, ,5. Completed Construction,2020,2020,0.0,100.0,100.0, , , , ,91.0,1,1090671,1005780071,566,BROOME STREET,Empty Site,Residential: 3 or More Units (R-2),PROPOSED: 27 STORY MIXED NEW BUILDING,2017-08-21,11/5/2020 0:00:00,2020-11-12,12/28/2020 0:00:00,M1-6, , , , , ,0.0,27.0, ,Private For-Profit: Corporation,360610037003008,10037003008,1003700,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,102,3,2_2,2,874,94,L008,2,1,1, , ,40.7245988779,-74.0063108999,BIN DOB buildingfootprints, ,20Q4
3315,121204623,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,4.0,3.0,-1.0, , , , ,0.0,1,1053884,1017290172,432,LENOX AVENUE,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),PROPOSE GUT REHAB FOR EXISTING 4-STORY MIXED USE BUILDING WITH GENERAL CONSTRUCTION AS PER PLAN. OBTAIN NEW C OF O.,2019-01-17,2/11/2020 0:00:00,2020-05-06,,R7-2, , , , , ,4.0,4.0, ,"Government, City: City Agency",360610208001000,10208001000,1020800,MN03,Central Harlem North-Polo Grounds,3803,110,9,5_1,5,571,100,L030,16,6,32, , ,40.8117465338,-73.9421179422,BIN DOB buildingfootprints, ,20Q4
3317,121204669,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,1.0,0.0, , , , ,0.0,1,1011351,1006230036,56,BANK STREET,Residential: 1-2 Family Houses (R-3),Residential: 1-2 Family Houses (R-3),"FILING FOR INTERIOR RENOVATION, EXCAVATION OF EXISTING CELLAR AND ADDITION OF 4TH FLOOR BY MEANS OF FAR TRANSFER FROM HABITABLE CELLAR.",2019-01-22,6/10/2020 0:00:00,2020-09-22,,R6, , , , ,Yes,3.0,4.0, ,Private For-Profit: Corporation,360610077004003,10077004003,1007700,MN23,West Village,3810,102,3,2_2,2,875,94,L005,2,1,6, , ,40.7366867414,-74.0039482958,BIN DOB buildingfootprints, ,20Q4
3325,121204829,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,30.0,30.0, , , , ,0.0,1,1060632,1020400023,101,MACOMBS PLACE,Empty Site,Residential: 3 or More Units (R-2),PROPOSED NEW RESIDENTIAL BUILDING,2019-02-20,12/10/2020 0:00:00,2020-12-10,,R7-2, , , , , ,0.0,7.0, ,Private For-Profit: Corporation,360610236001000,10236001000,1023600,MN03,Central Harlem North-Polo Grounds,3803,110,9,5_2,5,566,100,E069,16,6,32, , ,40.8278992197,-73.9357110368,BIN DOB buildingfootprints, ,20Q4
3328,121204874,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,277.0,277.0, , , , ,0.0,1,1012275,1006750039,606,WEST   30 STREET,Empty Site,Residential: 3 or More Units (R-2),NEW 45 STORY MIXED USE BUILDING,2019-02-28,3/10/2020 0:00:00,2020-11-09,,C6-4X,R10, ,HRP, , ,0.0,45.0, ,Private For-Profit: Partnership,360610099001017,10099001017,1009900,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,3807,104,3,2_3,2,517,88,E034,7,1,10,1,1,40.7534023346,-74.0047518587,BIN DOB buildingfootprints, ,20Q4
3331,121204909,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,0.0,0.0,0,230,0,0,0.0,1,1001042,1000520016,112,LIBERTY STREET,Empty Site,"Residential: Hotels, Dormitories (R-1)",ERECT 30 STORY HOTEL.,2019-03-06,2/25/2020 0:00:00,2020-12-28,,C5-5, , ,LM, , ,0.0,30.0, ,Private For-Profit: Corporation,360610013001001,10013001001,1001300,MN25,Battery Park City-Lower Manhattan,3810,101,1,2_2,2,783,94,E010,1,1,1, , ,40.7096163461,-74.0121274858,BIN DOB buildingfootprints,hotel_init/nhotel_prop/notherb_init/notherb_prop/nclassa_prop,20Q4
3332,121204918,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,1.0,0.0,-1.0, , , , ,0.0,1,1018067,1008800004,331,PARK AVENUE SOUTH,Commercial: Not Specified (COM),Assembly: Eating & Drinking (A-2),FILING TO OBTAIN AMENDED CERTIFICATE OF OCCUPANCY FOR THE CELLAR AND 1ST FLOOR PER  BC 28-116.,2019-03-08,8/25/2020 0:00:00,2020-08-25,,C6-4A, , , , , ,12.0,12.0, ,Private For-Profit: Partnership,360610068001003,10068001003,1006800,MN21,Gramercy,3808,105,2,2_4,2,518,98,E016,8,3,13, , ,40.7410023912,-73.9854145431,BIN DOB buildingfootprints, ,20Q4
3333,121204945,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,10.0,10.0, , , , ,0.0,1,1091652,1004060006,204,AVENUE A,Empty Site,Residential: 3 or More Units (R-2),CONSTRUCT NEW 07 STORY BUILDING MIXED USE BUILDING AS PER PLANS FILED.,2019-03-14,9/4/2020 0:00:00,2020-10-05,,R7A, , , , , ,0.0,7.0, ,"Government, City: NYCHA/HHC",360610034001001,10034001001,1003400,MN22,East Village,3809,103,2,1_3,1,502,81,L011,4,1,9, , ,40.729383,-73.980751,Lat/Lon geosupport, ,20Q4
3334,121204954,Alteration,Residential,Non-Residential,5. Completed Construction,2020,2020,55.0,55.0,0.0, , , , ,55.0,1,1090581,1004097502,242,BROOME STREET,Residential: 3 or More Units (R-2),Residential: 3 or More Units (R-2),FILING HEREWITH ALTI APPLICATION TO ESTABLISH ASSEMBLY USEFOR BOWLING ALLEY &amp; ASSOCIATED INTERIOR WORK AT CELLAR LEVEL AS PER PLANS.,2019-03-15,1/29/2020 0:00:00,2020-01-29,8/17/2020 0:00:00,C6-1, , , , , ,14.0,14.0, ,Private For-Profit: Corporation,360610018002001,10018002001,1001800,MN27,Chinatown,3809,103,1,2_1,2,509,81,E015,4,1,7, , ,40.718059,-73.989008,Lat/Lon geosupport, ,20Q4
3335,121204963,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,11.0,11.0, , , , ,0.0,1,1005227,1004060047,535,EAST   12 STREET,Empty Site,Residential: 3 or More Units (R-2),CONSTRUCT NEW 06 STORY BUILDING RESIDENTIAL USE BUILDING AS PER PLANS FILED.,2019-03-15,6/24/2020 0:00:00,2020-10-05,,R8B, , , , , ,0.0,6.0, ,"Government, City: Corporation",360610034001001,10034001001,1003400,MN22,East Village,3809,103,2,1_3,1,502,81,L011,4,1,9, , ,40.728614,-73.979615,Lat/Lon geosupport, ,20Q4
3340,121205052,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,16.0,16.0,0.0,0,0,0,0,0.0,1,1060458,1020300033,2488,7 AVENUE,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),PROPOSE RENOVATION OF A 6-STORY W/ CELLAR MIXED USE BUILDING AS PER PLAN. EXISTING FLOOR AREA TO REMAIN. NO CHANGE TO EXISTING BULK LAYOUT. OBTAIN NEW C OF O.,2019-04-02,5/20/2020 0:00:00,2020-06-01,,R7-2, , , , , ,6.0,6.0, ,"Government, City: Corporation",360610232004001,10232004001,1023200,MN03,Central Harlem North-Polo Grounds,3803,110,9,5_2,5,568,100,E069,16,6,32, , ,40.8214327995,-73.939704245,BIN DOB buildingfootprints,hotel_init/nhotel_prop/notherb_init/notherb_prop/nclassa_init,20Q4
3343,121205089,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,10.0,10.0, , , , ,0.0,1,1088840,1004420006,14,SECOND AVENUE,Empty Site,Residential: 3 or More Units (R-2),CONSTRUCT 10 STORY RESIDENTIAL BUILDING WITH CELLAR AND SUBCELLAR,2019-04-08,10/5/2020 0:00:00,2020-10-05,,C6-2A, , ,TA, , ,0.0,10.0, ,Private For-Profit: Partnership,360610036022003,10036022003,1003602,MN22,East Village,3809,103,2,1_3,1,502,81,L018,4,1,9, , ,40.723895,-73.990685,Lat/Lon geosupport, ,20Q4
3345,121205123,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,0.0,0.0, ,303, , ,0.0,1,1005635,1004230009,145,BOWERY,Empty Site,"Residential: Hotels, Dormitories (R-1)",NEW BUILDING 17 STORY HOTEL.,2019-04-12,2/4/2020 0:00:00,2020-11-06,,C6-1G,C6-3A, , , , ,0.0,18.0, ,Private For-Profit: Corporation,360610018005004,10018005004,1001800,MN27,Chinatown,3809,103,1,2_1,2,509,87,L006,4,1,5, , ,40.719026,-73.994253,Lat/Lon geosupport,hotel_prop/nclassa_prop,20Q4
3347,121205141,Alteration,Residential, ,3. Permitted for Construction, ,2020,43.0,44.0,1.0, , , , ,0.0,1,1062921,1021220021,545,WEST  162 STREET,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),INTERIOR RENOVATION AT PARTIAL 3RD FLOOR SUBDIVIDING EXISTING APT #32 INTO TWO DWELLING UNITS (APTS #32 &amp; #32A),2019-04-16,1/16/2020 0:00:00,2020-01-16,,R7-2, , , ,CONH, ,6.0,6.0, ,Private For-Profit: Partnership,360610245004000,10245004000,1024500,MN36,Washington Heights South,3801,112,7,6_2,6,583,108,E084,13,7,33, , ,40.8370514723,-73.9417537401,BIN DOB buildingfootprints, ,20Q4
3348,121205150,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,0.0,0.0, , , ,162,0.0,1,1033121,1012320045,2330,BROADWAY,Empty Site,Institutional: Incapacitated (I-2),NEW SENIOR LIVING FACILITY BUILDING AS PER PLANS FILED HEREWITH.,2019-04-22,5/8/2020 0:00:00,2020-10-09,,C4-6A, , ,EC-3, , ,0.0,19.0, ,Private For-Profit: Corporation,360610171001001,10171001001,1017100,MN12,Upper West Side,3806,107,6,3_1,3,537,402,E074,11,3,20, , ,40.7873212072,-73.9768749676,BIN DOB buildingfootprints,otherb_prop/nclassa_prop,20Q4
3350,121205187,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,33.0,33.0, , , , ,0.0,1,1047461,1015080004,109,EAST   79 STREET,Empty Site,Residential: 3 or More Units (R-2),HEREWITH FILING NEW BUILDING,2019-04-24,2/5/2020 0:00:00,2020-09-18,,R10,R10A, ,PI, , ,0.0,19.0, ,Private For-Profit: Corporation,360610140005002,10140005002,1014000,MN40,Upper East Side-Carnegie Hill,3805,108,4,2_5,2,525,93,E022,10,3,19, , ,40.775654031,-73.9598275158,BIN DOB buildingfootprints, ,20Q4
3351,121205203,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,71.0,71.0, , , , ,0.0,1,1051849,1016290033,1834,THIRD AVENUE,Empty Site,Residential: 3 or More Units (R-2),ERECT NEW BUILDING,2019-04-26,2/21/2020 0:00:00,2020-05-28,,R8A, , , , , ,0.0,9.0, ,Private Non-Profit: Corporation,360610166002001,10166002001,1016600,MN33,East Harlem South,3804,111,8,4_1,4,560,97,E053,10,3,23, , ,40.788681,-73.947193,Lat/Lon geosupport, ,20Q4
3362,121205392,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,11.0,11.0, , , , ,0.0,1,1002004,1001790043,29,LEONARD STREET,Commercial: Not Specified (COM),Residential: 3 or More Units (R-2),"CONVERSION OF AN EXISTING COMMERCIAL BUILDING TO A MIXED-USE MULTIPLE DWELLING ON THE CELLAR, 001-007. ARCHITECTURAL WORK TYPE. NEW CERTIFICATE OF OCCUPANCY TO BE OBTAINED.",2019-05-30,3/6/2020 0:00:00,2020-03-06,,C6-2A, , ,TMU, ,Yes,7.0,7.0, ,Private For-Profit: Corporation,360610033003019,10033003019,1003300,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,101,1,2_2,2,818,94,E007,1,1,1, , ,40.7186078194,-74.0073483518,BIN DOB buildingfootprints, ,20Q4
3366,121205481,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,12.0,12.0, , , , ,0.0,1,1091581,1016670011,221,EAST  117 STREET,Empty Site,Residential: 3 or More Units (R-2),PROPOSED RESIDENTIAL 6 STORY AND MEZZANINE NEW BUILDING,2019-06-13,6/12/2020 0:00:00,2020-09-30,,R7A, , , ,MIH, ,0.0,6.0, ,Private For-Profit: Corporation,360610188004001,10188004001,1018800,MN34,East Harlem North,3804,111,8,4_2,4,558,97,L026,12,3,25, , ,40.798396,-73.938401,Lat/Lon geosupport, ,20Q4
3368,121205506,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,12.0,12.0, ,57, , ,0.0,1,1090140,1001370010,86,WARREN STREET,Empty Site,"Residential: Hotels, Dormitories (R-1)",ERECT 11 STORY NEW BUILDING.,2019-06-18,2/7/2020 0:00:00,2020-12-29,,C6-3A, , ,TMU, , ,0.0,11.0, ,Private For-Profit: Corporation,360610021002001,10021002001,1002100,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,101,1,2_2,2,818,94,L010,1,1,1, , ,40.71557,-74.010476,Lat/Lon geosupport,hotel_prop/nclassa_prop,20Q4
3369,121205515,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,2.0,1.0,-1.0, , , , ,0.0,1,1090894,1022370018,12,CUMMING STREET,Assembly: Other (PUB),Assembly: Other (A-3),INTERIOR RENOVATION AND CHANGE OF OCCUPANCY IN EXISTING 3 STORY BUILDING.,2019-06-19,3/30/2020 0:00:00,2020-12-29,,R7A,R7-2, ,IN, , ,3.0,3.0, ,Private Non-Profit: Corporation,360610295002001,10295002001,1029500,MN01,Marble Hill-Inwood,3801,112,10,6_1,6,587,104,E095,13,7,34, , ,40.8664053566,-73.9265811188,BIN DOB buildingfootprints, ,20Q4
3372,121205551,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,4.0,3.0, , ,9, ,0.0,1,1053450,1017210128,24,WEST  123 STREET,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),CONVERT EXISTING ONE (1) CLASS A UNIT &amp; NINE (9) CLASS B UNITSTO  FOUR (4) DWELLING UNITS. INTERIOR RENOVATION W/ PARTITIONS &amp; PLUMBING WORKS AS PER PLAN. OBTAIN A NEW CERTIFICATE OF OCCUPANCY.,2019-06-20,6/18/2020 0:00:00,2020-08-04,,R7-2, , , , ,Yes,4.0,4.0, ,Private For-Profit: Individual,360610200002003,10200002003,1020000,MN11,Central Harlem South,3803,110,9,5_1,5,573,100,L014,12,3,28, , ,40.8060525401,-73.9459120253,BIN DOB buildingfootprints,otherb_init/nclassa_init,20Q4
3374,121205588,Alteration,Residential, ,3. Permitted for Construction, ,2020,4.0,1.0,-3.0, , , , ,0.0,1,1041217,1013820028,39,EAST   67 STREET,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),APPLICATION FILED FOR CHANGE OF USE TO A SINGLE FAMILY DWELLING. VERTICAL ENLARGEMENT IN ORDER TO CREATE MECHANICAL BULKHEAD ON ROOF AND EXCAVATION OF SUBCELLAR. SCOPE OF WORK ALSO INCLUDES RENOVATION THROUGHOUT,2019-06-24,10/22/2020 0:00:00,2020-11-12,,R8B, , ,LH-1A, ,Yes,5.0,5.0, ,Private For-Profit: Corporation,360610122001002,10122001002,1012200,MN40,Upper East Side-Carnegie Hill,3805,108,4,2_5,2,522,93,E039,10,3,19, , ,40.7684631644,-73.9669219958,BIN DOB buildingfootprints, ,20Q4
3375,121205597,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,178.0,178.0, , , , ,0.0,1,1052673,1016740049,1998,2 AVENUE,Empty Site,Residential: 3 or More Units (R-2),CONSTRUCTION OF A 12-STORY MIXED USE BUILDING. DOB NOW RELATED APPLICATIONS: M00234872-L1;M00308575-FN,2019-06-24,5/14/2020 0:00:00,2020-12-01,,R8A, , , , , ,0.0,12.0, ,Private For-Profit: Corporation,360610164001001,10164001001,1016400,MN33,East Harlem South,3804,111,8,4_1,4,565,97,L043,10,3,23,1,1,40.7884596746,-73.9436077263,BIN DOB buildingfootprints, ,20Q4
3377,121205640,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,229.0,229.0, , , , ,0.0,1,1020141,1009150002,509,3 AVENUE,Empty Site,Residential: 3 or More Units (R-2),NEW 35-STORY MIXED USE BUILDING,2019-06-27,5/29/2020 0:00:00,2020-10-23,,C1-9,C1-9A,R10A, , , ,0.0,35.0, ,Private For-Profit: Partnership,360610078004001,10078004001,1007800,MN20,Murray Hill-Kips Bay,3808,106,2,2_4,2,518,98,L007,8,3,17, , ,40.745832,-73.977643,Lat/Lon geosupport, ,20Q4
3383,121205702,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,1.0,1.0,0.0, , , , ,0.0,1,1044930,1014490020,351,EAST   74 STREET,Assembly: Other (PUB),Assembly: Other (A-3),"INTERIOR AND EXTERIOR RENOVATIONS TO EXISTING HOUSE OF WORSHIP ON SUB, CEL,  001-006 AND ROF AND TO REMOVE MZ6, AS SHOWN ON PLANS.",2019-07-01,6/17/2020 0:00:00,2020-12-16,,R8B, , , , , ,6.0,6.0, ,Private Non-Profit: Corporation,360610134008000,10134008000,1013400,MN31,Lenox Hill-Roosevelt Island,3805,108,5,2_5,2,526,93,E044,10,3,19, , ,40.7695617744,-73.9554915895,BIN DOB buildingfootprints, ,20Q4
